Date,InletT-Avg,OutletT,InletFlow,FGFlow,AmbientT,ExcessO2,DraftP,Density
0,285.11714642497464,380.0482785520767,73.23847517059194,810.0304790286021,29.748698881319015,1.5301685496690938,-19.10913386847313,0.863
1,285.2371656897783,379.99242808824766,72.98501295600389,808.405538687785,29.93567852535374,1.5144133629182095,-18.671751052431507,0.863
2,285.38633122117875,380.0262487967357,72.82015828726517,808.9603392304859,29.902503253371503,1.5041563728309388,-19.45345952362174,0.863
3,285.45790357236854,380.00651079678096,72.73459790144967,807.120457381455,29.549360137470693,1.500230726066418,-19.192650260399866,0.863
4,285.0935284736433,379.9935050072842,72.69255056284553,809.6642265291797,29.51049600320001,1.5008053304870022,-18.931840997177996,0.863
5,284.97203254021355,379.983505025101,72.69125278925331,811.2597982748855,29.25103338126097,1.5062630865311428,-18.68519229392121,0.863
6,285.16036805827014,380.0203283018888,72.5783817079303,806.4935993704447,29.86338070071251,1.520311571969134,-18.744188853741356,0.863
7,283.1216241933362,379.7374662024856,72.98814410890742,823.6630282383838,29.816742045654912,1.5214677468820226,-18.691177497591763,0.863
8,281.7998685098422,380.0069571785815,73.00181220288289,832.8469045425678,29.74108255812079,1.5248301561485453,-18.87571670098928,0.863
9,281.85794896438074,379.97557794180835,73.61542198961892,836.957950321407,29.010634378743724,1.535297950022275,-18.899730163304596,0.863
10,281.9959848905846,379.9961213809772,73.50048592707707,834.7727886672334,28.34389513694878,1.541562263987166,-18.765956094367688,0.863
11,281.72391062563173,379.99905758095974,73.28670364848865,836.3520059130653,27.881963794765916,1.5438354447809484,-18.76020506509802,0.863
12,280.97591524371796,379.87137493928344,72.78134932646067,842.4124971852156,27.558505058589848,1.556130958459565,-18.882778347903862,0.863
13,279.7310781636005,379.98169398633286,72.31780541852092,848.0161050221548,27.313168861386504,1.563779685905337,-19.101388439042925,0.863
14,279.26622517600674,379.94051067473856,72.17386860639594,851.1694893127479,27.02581736824191,1.5642305787488078,-19.052419286118894,0.863
15,278.96356897699593,380.0183935212019,72.53454019700091,854.7226464558196,26.68296319034354,1.5606076571798007,-18.978951092687304,0.863
16,279.3242213682363,380.0010563303325,72.44856405168417,851.4346313039017,26.716977556112543,1.5648697112463987,-19.135228319203154,0.863
